"Cod_IBGE";"Grande regiao";"Municipio";"casos_acum";"obitos_acum"
3555406;"Interior";"Ubatuba";13659;165
3555505;"Interior";"Ubirajara";584;16
3555604;"Interior";"Uchoa";2242;45
3555703;"Interior";"Uni„o Paulista";349;8
3555802;"Interior";"Ur‚nia";4085;53
3555901;"Interior";"Uru";451;6
3556008;"Interior";"UrupÍs";1010;62
3556107;"Interior";"Valentim Gentil";5538;80
3556206;"Interior";"Valinhos";26877;568
3556305;"Interior";"ValparaÌso";5978;91
3556354;"Interior";"Vargem";654;27
3556404;"Interior";"Vargem Grande do Sul";6820;122
3556453;"RMSP (exceto capital)";"Vargem Grande Paulista";7385;144
3556503;"Interior";"V·rzea Paulista";14607;315
3556602;"Interior";"Vera Cruz";734;51
3556701;"Interior";"Vinhedo";19086;255
3556800;"Interior";"Viradouro";4338;118
3556909;"Interior";"Vista Alegre do Alto";1923;26
3556958;"Interior";"VitÛria Brasil";775;11
3557006;"Interior";"Votorantim";12625;585
3557105;"Interior";"Votuporanga";34782;522
3557154;"Interior";"Zacarias";437;12
3557204;"Interior";"Chavantes";2824;62
3557303;"Interior";"Estiva Gerbi";1294;37
9999999;NA;"Ignorado";269;0
